Page ID,Title,URL,"Page Views, last 60 days","Description, local","Description, Wikidata",Alias,Label,Size in Bytes,Available languages count,Categories,Category URLs,Page Image Name,Page Image URL,Images,Image URLs,"Location, Latitude","Location, Longitude","Location, Distance to BYU","Location, Name","Location, Type","Location, Country","Location, Region","Location, Globe"
48239,Celestial sphere,https://en.wikipedia.org/wiki/Celestial_sphere,15883,"Imaginary sphere of arbitrarily large radius, concentric with the observer","imaginary sphere of arbitrarily large radius, concentric with the observer",,['celestial sphere'],19124,71,"['Celestial coordinate system', 'Spherical astronomy']","['https://en.wikipedia.org/wiki/Category:Celestial_coordinate_system', 'https://en.wikipedia.org/wiki/Category:Spherical_astronomy']",Earth_within_celestial_sphere.gif,https://upload.wikimedia.org/wikipedia/commons/1/12/Earth_within_celestial_sphere.gif,"['https://en.wikipedia.org/wiki/File:Celestial_Sphere,_18th_century.jpg', 'https://en.wikipedia.org/wiki/File:Commons-logo.svg', 'https://en.wikipedia.org/wiki/File:Crab_Nebula.jpg', 'https://en.wikipedia.org/wiki/File:Earth-moon.jpg', 'https://en.wikipedia.org/wiki/File:Earth_within_celestial_sphere.gif', 'https://en.wikipedia.org/wiki/File:He1523a.jpg', 'https://en.wikipedia.org/wiki/File:JostBurgi-MechanisedCelestialGlobe1594.jpg', 'https://en.wikipedia.org/wiki/File:RocketSunIcon.svg', 'https://en.wikipedia.org/wiki/File:Solar_system.jpg']","['https://upload.wikimedia.org/wikipedia/commons/6/6f/Celestial_Sphere%2C_18th_century.jpg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Earth_within_celestial_sphere.gif', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/JostBurgi-MechanisedCelestialGlobe1594.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/RocketSunIcon.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Solar_system.jpg']",,,,,,,,
2467812,Preparatory school,https://en.wikipedia.org/wiki/Preparatory_school,3606,Topics referred to by the same term,Wikimedia disambiguation page,,['preparatory school'],982,,['Disambiguation pages'],['https://en.wikipedia.org/wiki/Category:Disambiguation_pages'],,,"['https://en.wikipedia.org/wiki/File:Disambig_gray.svg', 'https://en.wikipedia.org/wiki/File:Wiktionary-logo-en-v2.svg']","['https://upload.wikimedia.org/wikipedia/en/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']",,,,,,,,
19252617,Kevin Downes,https://en.wikipedia.org/wiki/Kevin_Downes,3006,,"American actor, writer, producer and director",,['Kevin Downes'],5955,20,"['1972 births', '20th-century American male actors', '20th-century American screenwriters', '21st-century American male actors', '21st-century American screenwriters', 'American Christians', 'American film actor, 1970s birth stubs']","['https://en.wikipedia.org/wiki/Category:1972_births', 'https://en.wikipedia.org/wiki/Category:20th-century_American_male_actors', 'https://en.wikipedia.org/wiki/Category:20th-century_American_screenwriters', 'https://en.wikipedia.org/wiki/Category:21st-century_American_male_actors', 'https://en.wikipedia.org/wiki/Category:21st-century_American_screenwriters', 'https://en.wikipedia.org/wiki/Category:American_Christians', 'https://en.wikipedia.org/wiki/Category:American_film_actor,_1970s_birth_stubs']",,,"['https://en.wikipedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg', 'https://en.wikipedia.org/wiki/File:United_States_film_clapperboard.svg', 'https://en.wikipedia.org/wiki/File:Us-actor.svg']","['https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/United_States_film_clapperboard.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Us-actor.svg']",,,,,,,,
38723626,Pat Skerry,https://en.wikipedia.org/wiki/Pat_Skerry,157,,American basketball player and coach,['Patrick Joseph Skerry'],['Pat Skerry'],9230,,,,,,,,,,,,,,,
52985517,Territorial issues between Estonia and Russia,https://en.wikipedia.org/wiki/Territorial_issues_between_Estonia_and_Russia,726,,,,['territorial issues between Estonia and Russia'],6159,3,,,,,['https://en.wikipedia.org/wiki/File:Text_document_with_red_question_mark.svg'],['https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg'],,,,,,,,
26578547,"Arkville, New York","https://en.wikipedia.org/wiki/Arkville,_New_York",437,"Hamlet in New York, United States","human settlement in Delaware County, New York, United States of America","['Arkville, New York']",['Arkville'],4422,2,"['Catskills', 'Hamlets in Delaware County, New York', 'Hamlets in New York (state)']","['https://en.wikipedia.org/wiki/Category:Catskills', 'https://en.wikipedia.org/wiki/Category:Hamlets_in_Delaware_County,_New_York', 'https://en.wikipedia.org/wiki/Category:Hamlets_in_New_York_(state)']",USA_New_York_location_map.svg,https://upload.wikimedia.org/wikipedia/commons/8/8d/USA_New_York_location_map.svg,"['https://en.wikipedia.org/wiki/File:Erpf_House,_Arkville,_NY.jpg', 'https://en.wikipedia.org/wiki/File:Map_of_New_York_highlighting_Delaware_County.svg', 'https://en.wikipedia.org/wiki/File:Question_book-new.svg', 'https://en.wikipedia.org/wiki/File:Red_pog.svg', 'https://en.wikipedia.org/wiki/File:USA_New_York_location_map.svg', 'https://en.wikipedia.org/wiki/File:Usa_edcp_location_map.svg']","['https://upload.wikimedia.org/wikipedia/commons/2/2e/Erpf_House%2C_Arkville%2C_NY.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Map_of_New_York_highlighting_Delaware_County.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/USA_New_York_location_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Usa_edcp_location_map.svg']",42.14777778,-74.61972222,3080954.9,,city,US,NY,earth
28088227,1994 NCAA Division I-A football rankings,https://en.wikipedia.org/wiki/1994_NCAA_Division_I-A_football_rankings,1291,,Wikimedia list article,,['1994 NCAA Division I-A football rankings'],59678,,"['1994 NCAA Division I-A football season', 'NCAA Division I FBS football rankings']","['https://en.wikipedia.org/wiki/Category:1994_NCAA_Division_I-A_football_season', 'https://en.wikipedia.org/wiki/Category:NCAA_Division_I_FBS_football_rankings']",,,,,,,,,,,,
37887150,Poul F. Joensen,https://en.wikipedia.org/wiki/Poul_F._Joensen,124,,writer and poet,['Poul Frederik Joensen'],['Poul F. Joensen'],7801,10,"['1898 births', '1970 deaths', '20th-century Danish male writers', '20th-century Faroese poets', 'Faroese-language poets']","['https://en.wikipedia.org/wiki/Category:1898_births', 'https://en.wikipedia.org/wiki/Category:1970_deaths', 'https://en.wikipedia.org/wiki/Category:20th-century_Danish_male_writers', 'https://en.wikipedia.org/wiki/Category:20th-century_Faroese_poets', 'https://en.wikipedia.org/wiki/Category:Faroese-language_poets']",Poul._F.sumba.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Poul._F.sumba.jpg,"['https://en.wikipedia.org/wiki/File:Beinisvord,_westcoast_of_suduroy,_faroe_islands-2.jpg', 'https://en.wikipedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg', 'https://en.wikipedia.org/wiki/File:Poul._F.sumba.jpg', 'https://en.wikipedia.org/wiki/File:Poul_F_Joensen_Memorial_Stone_in_Frodba.jpg', 'https://en.wikipedia.org/wiki/File:Sumba_and_Beinisvord_in_Suduroy,_Faroe_Islands.JPG']","['https://upload.wikimedia.org/wikipedia/commons/7/76/Beinisvord%2C_westcoast_of_suduroy%2C_faroe_islands-2.jpg', 'https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Poul._F.sumba.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Poul_F_Joensen_Memorial_Stone_in_Frodba.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Sumba_and_Beinisvord_in_Suduroy%2C_Faroe_Islands.JPG']",,,,,,,,
47930728,Volcano-sedimentary,https://en.wikipedia.org/wiki/Volcano-sedimentary,106,Topics referred to by the same term,Wikimedia disambiguation page,,['Volcano-sedimentary'],286,,,,,,['https://en.wikipedia.org/wiki/File:Disambig_gray.svg'],['https://upload.wikimedia.org/wikipedia/en/5/5f/Disambig_gray.svg'],,,,,,,,
55670149,David Bote,https://en.wikipedia.org/wiki/David_Bote,5339,American baseball player,American professional baseball second baseman,['David C. Bote'],['David Bote'],10824,1,,,,,,,,,,,,,,
22567110,Trirhithrum,https://en.wikipedia.org/wiki/Trirhithrum,11,Genus of flies,genus of insects,,['Trirhithrum'],764,4,"['Dacinae', 'Dacinae stubs', 'Tephritidae genera']","['https://en.wikipedia.org/wiki/Category:Dacinae', 'https://en.wikipedia.org/wiki/Category:Dacinae_stubs', 'https://en.wikipedia.org/wiki/Category:Tephritidae_genera']",,,,,,,,,,,,
42128532,"Embassy of Israel, Manila","https://en.wikipedia.org/wiki/Embassy_of_Israel,_Manila",218,,,,"['Embassy of Israel, Manila']",13931,2,"['1962 establishments in the Philippines', 'Bonifacio Global City', 'Diplomatic missions in Taguig', 'Diplomatic missions of Israel', 'Israel–Philippines relations']","['https://en.wikipedia.org/wiki/Category:1962_establishments_in_the_Philippines', 'https://en.wikipedia.org/wiki/Category:Bonifacio_Global_City', 'https://en.wikipedia.org/wiki/Category:Diplomatic_missions_in_Taguig', 'https://en.wikipedia.org/wiki/Category:Diplomatic_missions_of_Israel', 'https://en.wikipedia.org/wiki/Category:Israel–Philippines_relations']",,,"['https://en.wikipedia.org/wiki/File:Flag_of_Israel.svg', 'https://en.wikipedia.org/wiki/File:Flag_of_the_Philippines.svg']","['https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg']",14.55847222,121.05736111,11849948.5,,landmark,,,earth
42746704,Uncle Mover,https://en.wikipedia.org/wiki/Uncle_Mover,377,American politician,American politician,"['Michael Patrick Shanks', 'Michael Shanks', 'Uncle Mover']",['Mike The Mover'],4429,,"['1953 births', 'Living people']","['https://en.wikipedia.org/wiki/Category:1953_births', 'https://en.wikipedia.org/wiki/Category:Living_people']",Mike_the_Mover_RV.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/Mike_the_Mover_RV.jpg,['https://en.wikipedia.org/wiki/File:Mike_the_Mover_RV.jpg'],['https://upload.wikimedia.org/wikipedia/commons/3/31/Mike_the_Mover_RV.jpg'],,,,,,,,
55084337,An Evening with Brian McKnight,https://en.wikipedia.org/wiki/An_Evening_with_Brian_McKnight,245,2016 live album by Brian McKnight,2016 live album by Brian McKnight,,['An Evening with Brian McKnight'],1818,,,,An_Evening_with_Brian_McKnight.jpg,https://upload.wikimedia.org/wikipedia/en/8/8c/An_Evening_with_Brian_McKnight.jpg,"['https://en.wikipedia.org/wiki/File:Ambox_important.svg', 'https://en.wikipedia.org/wiki/File:An_Evening_with_Brian_McKnight.jpg', 'https://en.wikipedia.org/wiki/File:Gnome-dev-cdrom-audio.svg', 'https://en.wikipedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg']","['https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/en/8/8c/An_Evening_with_Brian_McKnight.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Gnome-dev-cdrom-audio.svg', 'https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']",,,,,,,,
57191748,Plectonotum,https://en.wikipedia.org/wiki/Plectonotum,23,Genus of beetles,genus of insects,,['Plectonotum'],1704,,,,,,"['https://en.wikipedia.org/wiki/File:Red_Pencil_Icon.png', 'https://en.wikipedia.org/wiki/File:Rhagonycha.testacea.-.calwer.27.15.jpg']","['https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Rhagonycha.testacea.-.calwer.27.15.jpg']",,,,,,,,
5390252,Executive search,https://en.wikipedia.org/wiki/Executive_search,6931,Specialized recruitment service,Specialized recruitment service,"['headhunting', 'direct search']",['executive search'],11733,17,"['Executive search firms', 'Management consulting', 'Recruitment']","['https://en.wikipedia.org/wiki/Category:Executive_search_firms', 'https://en.wikipedia.org/wiki/Category:Management_consulting', 'https://en.wikipedia.org/wiki/Category:Recruitment']",,,"['https://en.wikipedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg', 'https://en.wikipedia.org/wiki/File:Question_book-new.svg', 'https://en.wikipedia.org/wiki/File:Symbol_template_class.svg']","['https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/en/5/5c/Symbol_template_class.svg']",,,,,,,,
26945419,Mario Ardizzon,https://en.wikipedia.org/wiki/Mario_Ardizzon,23,Italian footballer,Italian footballer (1938-2012),,['Mario Ardizzon'],1961,2,"['1938 births', '2012 deaths', 'A.S. Roma players', 'Association football defenders', 'Bologna F.C. 1909 players', 'Italian football defender stubs', 'Italian footballers']","['https://en.wikipedia.org/wiki/Category:1938_births', 'https://en.wikipedia.org/wiki/Category:2012_deaths', 'https://en.wikipedia.org/wiki/Category:A.S._Roma_players', 'https://en.wikipedia.org/wiki/Category:Association_football_defenders', 'https://en.wikipedia.org/wiki/Category:Bologna_F.C._1909_players', 'https://en.wikipedia.org/wiki/Category:Italian_football_defender_stubs', 'https://en.wikipedia.org/wiki/Category:Italian_footballers']",,,"['https://en.wikipedia.org/wiki/File:Flag_of_Italy.svg', 'https://en.wikipedia.org/wiki/File:Soccer_ball.svg', 'https://en.wikipedia.org/wiki/File:Soccerball_mask.svg']","['https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg', 'https://upload.wikimedia.org/wikipedia/en/e/ec/Soccer_ball.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg']",,,,,,,,
