Trim_ID,Make,Model,Year,Style,Trim,Body_style,Description,Rating,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
419573,Acura,MDX,2022,Acura MDX,MDX SH-AWD,suv,"For 2022, Acura redesigned and modernized the three-row MDX with a luxurious cabin, better tech features, and the promise of a hot Type S trim.",8,Small SUV 4WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419573,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,50245,All Wheel Drive,Premium Unleaded V-6,3.5,212,290,6200,267,4700,Automatic w/OD,10,8.4,19,25,21,18.5,388.5,351.5,462.5,113.8,198.4,78.7,67.1,,40.5,19 X 8.5,19 X 8.5,TRUE,7,139.1,95,,4503,,5000
423559,Acura,ILX,2022,Acura ILX,ILX Sedan,sedan,"If the thought of parking a Honda Civic in your driveway is just too lowbrow for you, consider its country club-raised cousin, the 2022 Acura ILX.",6,Compact Cars,0.55,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423559,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,27545,Front Wheel Drive,Premium Unleaded I-4,2.4,144,201,6800,180,3600,Auto-Shift Manual w/OD,8,6.3,24,34,28,13.2,369.6,316.8,448.8,105.1,182.2,70.6,55.6,4.4,36.8,17 X 7,17 X 7,TRUE,5,89.3,12.4,,3095,,
425066,Acura,NSX Type S,2022,Acura NSX,NSX Type S Coupe,coupe,"If the idea of a supercar that you can drive daily is intriguing, the 2022 Acura NSX Type S makes a great option and offers enough comfort and practicality for the task.",7.5,Two Seaters,0.64,domestic,https://www.caranddriver.com/acura/nsx/specs/2022/acura_nsx_acura-nsx_2022/425066,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_nsx_acura-nsx_2022-1636139617719.jpg,171495,All Wheel Drive,Twin Turbo Gas/Electric V-6,3.5,213,600,6500,492,,Auto-Shift Manual w/OD,9,8.4,21,22,21,15.6,327.6,327.6,343.2,103.5,178.5,76.3,47.8,3.8,39.7,19 X 8.5,20 X 11,FALSE,2,54.7,,,3878,,
425739,Acura,RDX,2022,Acura RDX,RDX SH-AWD,suv,"The 2022 Acura RDX doesn't have the same cachet as its luxury-brand classmates, but it's stylish, fun-to-drive, generously equipped, and more affordable than many rival SUVs.",6.5,Small SUV 4WD,0.65,domestic,https://www.caranddriver.com/acura/rdx/specs/2022/acura_rdx_acura-rdx_2022/425739,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_rdx_acura-rdx_2022-1638487373438.jpg,42545,All Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2,122,272,6500,280,1600,Automatic w/OD,10,7.7,21,27,23,17.1,393.3,359.1,461.7,108.3,187.4,74.8,65.7,5.7,39,19 X 8,19 X 8,TRUE,5,104,,5027,4025,1002,
424967,Acura,TLX,2022,Acura TLX,TLX FWD,sedan,"The stylish Acura TLX sedan puts sportiness before luxuriousness, and its communicative driving traits and strong value versus some luxe rivals make it an attractive proposition.",8,Compact Cars,0.65,domestic,https://www.caranddriver.com/acura/tlx/specs/2022/acura_tlx_acura-tlx_2022/424967,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-acura-tlx-type-s-110-1626445418.jpg,38745,Front Wheel Drive,Intercooled Turbo Premium Unleaded I-4,2,122,272,6500,280,1600,Automatic w/OD,10,7,22,31,25,15.9,397.5,349.8,492.9,113,194.6,75.2,56.4,,40.1,18 X 8,18 X 8,TRUE,5,93.4,13.5,,3709,,
409741,Acura,RLX,2020,Acura RLX,RLX Sedan w/Technology Pkg,sedan,"With innumerable standard features and an NSX-derived hybrid system, the RLX is a really nice car as long as its luxury shortcomings are accepted.",5,Midsize Cars,0,foreign,https://www.caranddriver.com/acura/rlx/specs/2020/acura_rlx_acura-rlx_2020/409741,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_rlx_acura-rlx_2020-1636142236748.jpg,55925,Front Wheel Drive,Premium Unleaded V-6,3.5,212,310,6500,272,4500,Automatic w/OD,10,7.6,20,29,23,18.5,425.5,370,536.5,112.2,198.1,74.4,57.7,3.8,40.5,19 X 8,19 X 8,TRUE,5,102.1,14.9,,3977,,
363873,Acura,TL,2014,Acura TL,TL 2WD Automatic,sedan,"Acura's Ohio-built mid-size sedan may not be beautiful, but it does bring a lot of luxury and technology for the money.",7,Midsize Cars,0.64,domestic,https://www.caranddriver.com/acura/tl/specs/2014/acura_tl_acura-tl_2014/363873,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5859.jpg,36950,Front Wheel Drive,Premium Unleaded V-6,3.5,212,280,6200,254,5000,Automatic w/OD,6,7.8,20,29,23,18.5,425.5,370,536.5,109.3,194,74,57.2,4.5,38.4,17 X 8,17 X 8,TRUE,5,98.2,13.1,,3726,,
364152,Acura,TSX,2014,Acura TSX,TSX Automatic,sedan,"With the small ILX sedan introduced for 2013, Acura's TSX is no longer the baby of the family.",8,Compact Cars,0.64,domestic,https://www.caranddriver.com/acura/tsx/specs/2014/acura_tsx_acura-tsx_2014/364152,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5861.jpg,31555,Front Wheel Drive,Premium Unleaded I-4,2.4,144,201,7000,170,4300,Automatic w/OD,5,6.9,22,31,26,18.5,481,407,573.5,106.5,185.6,72.4,56.7,5.9,36.7,17 X 7.5,17 X 7.5,TRUE,5,94.5,14,,3479,,
356136,Acura,ZDX,2013,Acura ZDX,ZDX AWD,station-wagon,"The 2013 model year represents the swan song year for Acura's brazenly styled ZDX luxury crossover, which shares its dirty parts with the taller, seven-seat MDX.",5,4WD Sport Utility,0.64,domestic,https://www.caranddriver.com/acura/zdx/specs/2013/acura_zdx_acura-zdx_2013/356136,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/5342.jpg,51815,All Wheel Drive,Gas V6,3.7,224,300,6300,270,4500,Automatic,6,9.6,16,23,19,21,399,336,483,108.3,192.4,78.5,62.8,7.9,38.4,19 x 8.5,19 x 8.5,TRUE,5,91.2,55.8,,4424,,
338730,Acura,RL,2012,Acura RL,RL Automatic,sedan,"The RL sits atop Acura's sedan lineup and is smooth, quiet, and posh, with many high-tech features.",5,Mid-Size,0.64,domestic,https://www.caranddriver.com/acura/rl/specs/2012/acura_rl_acura-rl_2012/338730,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/media/assets/submodel/4663.jpg,49095,All Wheel Drive,Gas V6,3.7,224,300,6300,271,5000,Automatic,6,9.1,17,24,20,19.4,388,329.8,465.6,110.2,195.8,72.7,57.2,5.7,38.7,18 x 8.0,18 x 8.0,TRUE,5,99.1,13.8,,4099,,
