Trim_ID,Make,Model,Year,Style,Trim,Body_style,EPA_class,Pct_domestic_content,Origin,URL,Image,Price,Drivetrain,Engine,Engine_size_liters,Engine_size_inches,Max_horsepower,RPM_max_hp,Max_torque,RPM_max_torque,Transmission_type,Transmission_gears,CO2_emmissions,MPG_city,MPG_highway,MPG_combined,Fuel_capacity_gallons,Range_combined,Range_city,Range_highway,Wheelbase_inches,Length_inches,Width_inches,Height_inches,Ground_clearance_inches,Turning_diameter_ft,Front_wheel_size_inches,Rear_wheel_size_inches,Same_size_wheels,Seating_capacity,Cabin_volume_cubic_ft,Cargo_space_cubic_ft,GVWR_pounds,Curb_weight_pounds,Payload_capacity_pounds,Towing_capacity_pounds
419574,Acura,MDX,2022,Acura MDX,MDX SH-AWD w/Technology Package,suv,Small SUV 4WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419574,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,54945.0,All Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.4,19.0,25.0,21.0,18.5,388.5,351.5,462.5,113.8,198.4,78.7,67.1,NA,40.5,20 X 9,20 X 9,True,7,139.1,95.0,NA,4529.0,NA,5000.0
419576,Acura,MDX,2022,Acura MDX,MDX SH-AWD w/Advance Package,suv,Small SUV 4WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419576,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,61995.0,All Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.4,19.0,25.0,21.0,18.5,388.5,351.5,462.5,113.8,198.4,78.7,67.1,NA,40.5,20 X 9,20 X 9,True,7,139.1,95.0,NA,4565.0,NA,5000.0
419573,Acura,MDX,2022,Acura MDX,MDX SH-AWD,suv,Small SUV 4WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419573,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,50245.0,All Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.4,19.0,25.0,21.0,18.5,388.5,351.5,462.5,113.8,198.4,78.7,67.1,NA,40.5,19 X 8.5,19 X 8.5,True,7,139.1,95.0,NA,4503.0,NA,5000.0
419575,Acura,MDX,2022,Acura MDX,MDX SH-AWD w/A-Spec Package,suv,Small SUV 4WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419575,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,58445.0,All Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.4,19.0,25.0,21.0,18.5,388.5,351.5,462.5,113.8,198.4,78.7,67.1,NA,40.5,20 X 9,20 X 9,True,7,139.1,95.0,NA,4534.0,NA,5000.0
419577,Acura,MDX,2022,Acura MDX,MDX FWD,suv,Small SUV 2WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419577,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,48245.0,Front Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.0,19.0,26.0,22.0,18.5,407.0,351.5,481.0,113.8,198.4,78.7,67.1,NA,40.5,19 X 8.5,19 X 8.5,True,7,139.1,95.0,NA,4271.0,NA,3500.0
419578,Acura,MDX,2022,Acura MDX,MDX FWD w/Technology Package,suv,Small SUV 2WD,0.64,domestic,https://www.caranddriver.com/acura/mdx/specs/2022/acura_mdx_acura-mdx_2022/419578,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_mdx_acura-mdx_2022-1636133370049.jpg,52945.0,Front Wheel Drive,Premium Unleaded V-6,3.5,212.0,290.0,6200.0,267.0,4700.0,Automatic w/OD,10,8.0,19.0,26.0,22.0,18.5,407.0,351.5,481.0,113.8,198.4,78.7,67.1,NA,40.5,20 X 9,20 X 9,True,7,139.1,95.0,NA,4297.0,NA,3500.0
423562,Acura,ILX,2022,Acura ILX,ILX Sedan w/Technology/A-Spec Package,sedan,Compact Cars,0.55,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423562,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,33445.0,Front Wheel Drive,Premium Unleaded I-4,2.4,144.0,201.0,6800.0,180.0,3600.0,Auto-Shift Manual w/OD,8,6.3,24.0,34.0,28.0,13.2,369.59999999999997,316.79999999999995,448.79999999999995,105.1,182.2,70.6,55.6,4.4,36.8,18 X 7.5,18 X 7.5,True,5,89.3,12.4,NA,3148.0,NA,NA
423561,Acura,ILX,2022,Acura ILX,ILX Sedan w/Premium/A-Spec Package,sedan,Compact Cars,0.55,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423561,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,31545.0,Front Wheel Drive,Premium Unleaded I-4,2.4,144.0,201.0,6800.0,180.0,3600.0,Auto-Shift Manual w/OD,8,6.3,24.0,34.0,28.0,13.2,369.59999999999997,316.79999999999995,448.79999999999995,105.1,182.2,70.6,55.6,4.4,36.8,18 X 7.5,18 X 7.5,True,5,89.3,12.4,NA,3144.0,NA,NA
423560,Acura,ILX,2022,Acura ILX,ILX Sedan w/Premium Package,sedan,Compact Cars,0.55,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423560,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,29545.0,Front Wheel Drive,Premium Unleaded I-4,2.4,144.0,201.0,6800.0,180.0,3600.0,Auto-Shift Manual w/OD,8,6.3,24.0,34.0,28.0,13.2,369.59999999999997,316.79999999999995,448.79999999999995,105.1,182.2,70.6,55.6,4.4,36.8,17 X 7,17 X 7,True,5,89.3,12.4,NA,3122.0,NA,NA
423559,Acura,ILX,2022,Acura ILX,ILX Sedan,sedan,Compact Cars,0.55,domestic,https://www.caranddriver.com/acura/ilx/specs/2022/acura_ilx_acura-ilx_2022/423559,https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/acura_ilx_acura-ilx_2022-1636143076846.jpg,27545.0,Front Wheel Drive,Premium Unleaded I-4,2.4,144.0,201.0,6800.0,180.0,3600.0,Auto-Shift Manual w/OD,8,6.3,24.0,34.0,28.0,13.2,369.59999999999997,316.79999999999995,448.79999999999995,105.1,182.2,70.6,55.6,4.4,36.8,17 X 7,17 X 7,True,5,89.3,12.4,NA,3095.0,NA,NA
